county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Atchison,Missouri,933,-2.0674742464329023,0.9117647058823529,10935.1689860835,162.52286282306164,17.38215698969185,36.05367793240557,4.330257271065209,24.029982766333433,17.39502988626044,3.550771072176342,195.33447047518885,196.78807157057653,1957.3666882992047,8532.104087164727,1486.2400666134583,8532.104087164727
Athens,Ohio,2256,0.02739923541252359,0.5,65103,713,20.031609366,47,7.0284298595,129.268759337818,20.618433863,5.7676363505,111.63589523,800.3,880.4039129099999,3465.2780977835123,1095.1876257622537,3465.2780977835123
Atlantic,New Jersey,8490,0.028041572400831567,0.3333333333333333,274026,3951,15.6441948,48,5.0510670099,493.212625143928,20.650695155,5.8847262732,373.1873109,464.2,1784.1008033,3098.2461518250093,1441.8339865560201,3098.2461518250093
Atoka,Oklahoma,905,0.022826220667489416,0.5,13847,283,20.874302968,39,4.6212753623,14.1944998187355,22.147475196,4.1202890061,105.43537539,540.1,5061.908230200001,6535.711706506824,2043.7639922004767,6535.711706506824
Audrain,Missouri,1431,0.02566416270314061,0.6666666666666666,25868,389,20.665544602,30,3.5431240592,37.3688319721923,19.399256445,3.091447612,182.94561701,651.3,3387.8504673,5531.931343745167,1503.7884645121385,5531.931343745167
Audubon,Iowa,312,0.01999247494057656,0.6,5793,90,16.186632591,35,3.7985340314,13.0778966531268,12.981562934,2.4390243902,70.187752237,125.5,1877.5510204,5385.810460901088,1553.5991714137751,5385.810460901088
Auglaize,Ohio,2696,0.028769255161635407,0.5,45871,518,17.454950225,47,3.8483115762,114.279988364378,14.566995823,3.3007334963,58.254689503,233.7,2352.9411765,5877.351703690785,1129.253776896078,5877.351703690785
Augusta,Virginia,1339,0.026219587755704533,0.5,74330,911,15.833912222,54,3.9670494633,76.8632198546925,14.207762165,2.6894534424,124.89029906,231.6,1865.9011688,1801.426072918068,1225.6154984528455,1801.426072918068
Austin,Texas,662,0.02310002527886614,0.5,29107,379,13.560554297,40,4.6637453691,45.0230298485073,17.116888869,3.6318230467,237.77981589,248.4,2961.1078374000003,2274.3669907582366,1302.0922802075102,2274.3669907582366
Autauga,Alabama,2945,0.02733563565983971,0.75,55049,791,18.08155718,41,5.2345972691,92.6055333801792,20.882987328,3.6290788612,272.28222006,407.2,2528.4927164,5349.7792875438245,1436.9016694217878,5349.7792875438245
Avery,North Carolina,1008,0.03114239521488936,0.5,17633,283,17.385965386,47,4.3732046421,71.291202006846,16.6476292,3.6392197932,173.82235355,193.9,2231.5568390999997,5716.554188169909,1604.945273067544,5716.554188169909
Avoyelles,Louisiana,2220,0.026801249515845855,0.5,41252,776,22.94656752,37,6.2009559289,49.5590860543851,24.494734265,5.7206295305,584.49416793,756.5,5774.4645604,5381.557257829923,1881.1209153495588,5381.557257829923
Bailey,Texas,496,0.025286556820212344,0.5,7131,76,16.253688372,41,3.5955433933,8.62303012064209,26.991707829,4.3691148776,160.18944143,395.6,6270.8102109,6955.546206703128,1065.7691768335437,6955.546206703128
Baker,Florida,2091,-7.613807563483846,0.9861111111111112,22284.66527196652,371.0648535564855,19.317207338767783,37.77196652719665,4.4520948695062765,28.20117218035616,17.654241560048117,4.324209149437865,375.993270507615,390.79832635983263,3655.277253809205,9383.133982409056,1665.1129780408887,9383.133982409056
Baldwin,Alabama,9501,-0.3984245741148824,0.8888888888888888,123683.68000000001,1872.2933333333335,18.637959461293335,42.52,5.243222965807999,150.96483718741987,20.473927101226668,4.317581739593333,443.29905492813333,515.1306666666667,2216.9358097213335,7681.692524025805,1513.7755711451448,7681.692524025805
